TimeStamps,AnkleAccelerometer,,,AnkleAngularVelocity,,,AnkleLuminosity,RightPocketAccelerometer,,,RightPocketAngularVelocity,,,RightPocketLuminosity,BeltAccelerometer,,,BeltAngularVelocity,,,BeltLuminosity,NeckAccelerometer,,,NeckAngularVelocity,,,NeckLuminosity,WristAccelerometer,,,WristAngularVelocity,,,WristLuminosity,BrainSensor,Infrared1,Infrared2,Infrared3,Infrared4,Infrared5,Infrared6,Subject,Activity,Trial,
2018-07-04T12:04:17.738369,-1.005,0.229,-0.083,-0.671,0.488,-2.683,0,-0.981,0.26,0.098,1.768,-1.89,0.732,0,0.146,0.895,0.367,-1.463,-3.841,-2.622,392.633,-0.672,0.072,-0.815,-3.293,-7.805,9.207,1231.336,-1.24,-0.557,0.227,-75.854,44.024,315.915,2108.154,45,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:17.790509,-1.005,0.228,-0.082,-3.415,-0.549,0.122,0,-0.981,0.26,0.098,3.354,-2.5,-0.061,0,0.146,0.895,0.367,1.037,-4.024,-1.768,392.633,-0.672,0.072,-0.815,-9.756,-8.049,5.122,1231.336,-1.24,-0.557,0.227,-28.78,55.549,344.146,2108.154,1,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:17.836632,-1.005,0.231,-0.079,-2.622,-1.402,-0.549,0,-0.975,0.282,0.091,3.72,-2.5,-0.793,0,0.178,0.896,0.373,0.366,-2.5,-0.488,392.633,-0.705,0.084,-0.779,-17.866,-18.354,4.329,1231.336,-1.884,-0.687,0.251,27.256,87.134,372.012,2108.154,325,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:17.885262,-1.005,0.231,-0.079,-2.561,-2.195,-1.22,0,-0.973,0.301,0.103,-1.951,-1.159,-1.28,0,0.16,0.895,0.372,0.854,1.951,1.585,392.633,-0.727,0.095,-0.758,-18.537,-10.061,0.366,1231.336,-1.884,-0.687,0.251,2.866,117.683,356.463,2108.154,396,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:17.945423,-1.008,0.229,-0.072,-3.537,-2.073,-0.305,0,-0.973,0.301,0.103,-5.366,-1.28,-0.732,0,0.16,0.895,0.372,2.012,4.634,3.354,392.633,-0.727,0.095,-0.758,4.878,2.866,-3.232,1231.336,-1.597,-0.646,0.112,10,30.671,126.768,2108.154,-436,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.007088,-1.005,0.223,-0.066,-10.488,-2.195,0.61,0,-0.983,0.266,0.117,-5,0.183,-1.89,0,0.082,0.902,0.359,6.341,0.854,2.988,392.633,-0.707,0.042,-0.778,11.463,-12.622,6.585,1231.336,-1.096,-0.204,0.179,21.524,40.427,26.89,2108.154,-290,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.060229,-1.005,0.223,-0.066,-8.841,-2.561,0.793,0,-0.999,0.2,0.119,-2.683,2.5,-2.927,0,0.063,0.913,0.366,4.817,-3.963,0.427,392.633,-0.637,0.132,-0.809,-4.939,0.488,1.768,1231.336,-0.86,-0.527,0.235,-103.537,3.293,-39.939,2108.154,80,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.104347,-1.008,0.22,-0.062,1.768,-0.732,8.72,0,-0.999,0.2,0.119,2.866,2.134,-3.171,0,0.063,0.913,0.366,3.171,-7.5,-1.524,392.633,-0.637,0.132,-0.809,-1.951,21.159,-2.439,1231.336,-0.86,-0.527,0.235,-127.866,-0.366,-21.28,2108.154,160,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.148967,-1,0.259,-0.063,3.963,-0.732,6.829,0,-0.993,0.227,0.096,7.866,-0.122,-3.598,0,0.137,0.906,0.362,1.646,-10.427,-3.598,392.633,-0.667,0.074,-0.846,1.037,11.22,-1.463,1231.336,-0.827,-0.458,0.128,-92.317,2.561,-5.366,2108.154,116,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.198098,-1,0.259,-0.063,4.451,0.183,2.622,0,-0.988,0.282,0.098,13.11,-1.646,-6.037,0,0.137,0.906,0.362,2.744,-12.5,-4.146,392.633,-0.69,0.041,-0.801,1.951,0.793,-0.427,1231.336,-0.827,-0.458,0.128,-30.976,6.707,-10,2108.154,116,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.241213,-1.002,0.263,-0.064,-3.171,1.037,-0.122,0,-0.988,0.282,0.098,12.805,-5.122,-3.476,0,0.189,0.907,0.358,4.756,-10.122,-3.293,392.633,-0.69,0.041,-0.801,-1.098,4.817,-3.354,1231.336,-1.089,-0.367,0.094,11.463,8.232,-30.183,2108.154,153,1,1,1,1,1,1,1,1,1,7
2018-07-04T12:04:18.311401,-1.007,0.24,-0.064,-4.573,1.768,-2.317,0,-0.969,0.321,0.106,-0.488,-4.268,1.646,0,0.158,0.896,0.382,2.134,-1.159,-1.463,392.633,-0.68,0.076,-0.809,-5.183,-4.817,-1.28,1231.336,-1.238,-0.287,0.144,22.134,5.915,-86.707,2108.154,92,1,1,1,1,1,1,1,1,1,7
